empid,empname,gen,dept,salary
e889,sep,f,qa,95000
e890,oct,m,pm,95500
e891,nov,m,mgr,96000
e892,dec,f,se,96500
e893,jan,m,se,97000
e894,feb,m,pm,97500
e895,mar,f,pl,98000
e896,apr,m,se,98500
e897,may,f,admin,99000
e898,jun,f,sa,99500
e899,jul,f,qa,100000
e900,aug,m,pm,100500
e901,sep,m,mgr,101000
e902,oct,f,se,101500
e903,nov,m,se,102000
e904,dec,m,pm,102500
e905,jan,f,pl,103000
e906,feb,m,se,103500
e907,mar,f,admin,104000
e908,apr,f,sa,104500
e909,may,f,qa,105000
e910,jun,m,pm,105500
e911,jul,m,mgr,106000
e912,aug,f,se,106500
e913,sep,m,se,107000
e914,oct,m,pm,107500
e915,nov,f,pl,108000
e916,dec,m,se,108500
e917,jan,f,admin,109000
e918,feb,f,sa,109500
e919,mar,f,qa,110000
e920,apr,m,pm,110500
e921,may,m,mgr,111000
e922,jun,f,se,111500
e923,jul,m,se,112000
e924,aug,m,pm,112500
e925,sep,f,pl,113000
